"Team","Wins","Losses","Ties","WinPct","PF","PA","Pt.Diff","Streak","Home.Wins","Home.Losses","Home.Ties","Road.Wins","Road.Losses","Road.Ties","Div.Wins","Div.Losses","Div.Ties","Conf.Wins","Conf.Losses","Conf.Ties"
"NE",12,3,0,0.8,432,290,142,"W2","5","2",0,"7","1",0,"4","1",0,"9","2",0
"BUF",8,7,0,0.533,280,343,-63,"L1","6","2",0,"2","5",0,"2","3",0,"6","5",0
"MIA",6,9,0,0.4,265,371,-106,"L2","4","3",0,"2","6",0,"2","3",0,"5","6",0
"NYJ",5,10,0,0.333,292,356,-64,"L3","4","4",0,"1","6",0,"2","3",0,"5","6",0
"PIT",12,3,0,0.8,378,284,94,"W1","5","2",0,"7","1",0,"5","0",0,"9","2",0
"BAL",9,6,0,0.6,368,272,96,"W2","5","2",0,"4","4",0,"3","2",0,"7","4",0
"CIN",6,9,0,0.4,259,322,-63,"W1","4","4",0,"2","5",0,"2","3",0,"5","6",0
"CLE",0,15,0,0,210,382,-172,"L15","0","8",0,"0","7",0,"0","5",0,"0","11",0
"JAX",10,5,0,0.667,407,253,154,"L1","6","2",0,"4","3",0,"4","1",0,"9","2",0
"TEN",8,7,0,0.533,319,346,-27,"L3","5","2",0,"3","5",0,"4","1",0,"7","4",0
"HOU",4,11,0,0.267,325,414,-89,"L5","3","5",0,"1","6",0,"1","4",0,"3","8",0
"IND",3,12,0,0.2,241,391,-150,"L6","2","5",0,"1","7",0,"1","4",0,"2","9",0
"KC",9,6,0,0.6,388,315,73,"W3","6","2",0,"3","4",0,"4","1",0,"7","4",0
"LAC",8,7,0,0.533,325,262,63,"W1","4","3",0,"4","4",0,"2","3",0,"5","6",0
"OAK",6,9,0,0.4,291,343,-52,"L3","4","4",0,"2","5",0,"2","3",0,"5","6",0
"DEN",5,10,0,0.333,265,355,-90,"L1","4","3",0,"1","7",0,"2","3",0,"4","7",0
"PHI",13,2,0,0.867,457,289,168,"W3","7","0",0,"6","2",0,"5","0",0,"10","1",0
"DAL",8,7,0,0.533,348,332,16,"L1","3","5",0,"5","2",0,"4","1",0,"6","5",0
"WSH",7,8,0,0.467,332,370,-38,"W2","5","3",0,"2","5",0,"1","4",0,"5","6",0
"NYG",2,13,0,0.133,228,378,-150,"L5","1","6",0,"1","7",0,"0","5",0,"0","11",0
"MIN",12,3,0,0.8,359,242,117,"W2","6","1",0,"6","2",0,"4","1",0,"9","2",0
"DET",8,7,0,0.533,375,365,10,"L1","3","4",0,"5","3",0,"4","1",0,"7","4",0
"GB",7,8,0,0.467,309,349,-40,"L2","4","4",0,"3","4",0,"2","3",0,"5","6",0
"CHI",5,10,0,0.333,254,297,-43,"W1","3","5",0,"2","5",0,"0","5",0,"1","10",0
"NO",11,4,0,0.733,424,295,129,"W2","7","1",0,"4","3",0,"4","1",0,"8","3",0
"CAR",11,4,0,0.733,353,305,48,"W3","6","2",0,"5","2",0,"3","2",0,"7","4",0
"ATL",9,6,0,0.6,331,305,26,"L1","4","3",0,"5","3",0,"3","2",0,"8","3",0
"TB",4,11,0,0.267,304,358,-54,"L5","3","4",0,"1","7",0,"0","5",0,"2","9",0
"LAR",11,4,0,0.733,465,295,170,"W2","4","3",0,"7","1",0,"4","1",0,"7","4",0
"SEA",9,6,0,0.6,342,306,36,"W1","4","3",0,"5","3",0,"4","1",0,"7","4",0
"ARI",7,8,0,0.467,269,337,-68,"W1","5","3",0,"2","5",0,"2","3",0,"4","7",0
"SF",5,10,0,0.333,297,370,-73,"W4","3","5",0,"2","5",0,"0","5",0,"2","9",0
